id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,sum,sum_organic,sum_inorganic,sum_Phosphotransferase,sum_Transporters,sum_Two_component,occP_1_2,labP,orgP,secP_1_2,totP
SRR10260006,1.722275279,-0.146687817,-1.663932656,0.408501959,0.755543734,-0.868813302,0.092658847,-1.200842749,0.696776756,-0.759677585,1.110518197,-3.220116455,0.971656338,-1.012314495,0.335548994,0.916682159,-0.735983862,-0.375314691
SRR10260008,-0.17849758,0.562002882,-0.048746792,1.225906648,0.517494247,-0.769634162,0.230238659,-10.13470038,-2.093338154,-0.718219921,-0.556009773,-5.456183309,-1.310949227,-1.06982681,0.104322526,-0.888835237,-1.061530228,-0.375314691
SRR10260009,-0.684313103,0.921612996,-2.255700449,0.156117039,-0.734557178,0.360662121,0.166031461,-8.243203747,-1.947792787,1.249553358,-1.13476758,-4.243417133,-2.166779604,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10260010,-0.20005125,0.774405439,-2.222433529,-0.306323844,-0.640490973,0.445685674,0.232221122,-1.781232467,-1.793963692,-1.158973355,-0.334541499,3.850384761,-2.344138682,-0.55635125,-0.830684128,-0.772840175,-0.492195721,-0.926832222
SRR10260011,1.642850088,-0.217588394,1.588062598,-2.341628845,1.366076009,0.101150374,40.11932404,-9.327858895,-1.477018845,-1.255721568,0.20487691,-5.253092713,-1.546902679,-1.012314495,0.335548994,0.916682159,-0.735983862,-0.375314691
SRR10260012,1.871465507,-0.038545176,-1.773127274,0.184327879,0.228526253,-0.330524451,0.260850227,-5.692248636,-1.873210647,-1.485508442,3.833938729,-4.639912759,-1.527555516,-1.012314495,0.335548994,0.916682159,-0.735983862,-0.375314691
SRR10360602,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-8.578966315,-0.098765954,-1.506277208,-0.133931982,-4.846539223,-1.993451948,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360603,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-15.86497902,-2.077817899,-2.889055004,-0.676253532,-6.979194198,-3.242658388,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360604,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-15.92694594,-0.912654731,-2.666878436,-0.826797938,-7.954007308,-3.566607526,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360605,-1.144971776,0.94112599,-0.07791187,0.340199824,0.356526041,0.252614314,-0.180113861,-13.61250307,-0.017480943,-2.479369947,-0.796115941,-7.407686601,-2.911849644,0.667423459,-0.312352678,0.174921043,0.676531308,-0.140161414
SRR10360606,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-10.49219926,-1.072604425,-1.839405362,-0.716843122,-3.901208405,-2.962137952,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360607,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-11.14168985,-1.208646674,-1.891216803,-0.706152878,-4.395649322,-2.940024176,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
SRR10360608,-0.91467089,0.417217129,0.01212449,0.154357789,0.518078763,-0.093578661,-0.198579711,-13.38587887,-1.760005648,-2.141603356,-0.799697123,-5.698009117,-2.986563628,1.383703961,-0.205317726,0.229828801,-0.721172482,0.635115916
