,lon,lat_weidu,BIOME_1_2,ABS_lat,cec_0.30_mean,nitrogen_0.30_mean,phh2o_0.30_mean,soc_0.30_mean,GDP_per_capita_PPP2005,Human_development_index2005,Annual_mean_moisture_index_2,anthropogenic_biome_2,Aridity_index_2,CN30cm_1_2,population_density_2,Human_influence_index_2,development_threat_index_2,human_modification_terrestrial_2,nfertilizer_global_2,occP_1_2,totP,labP,orgP,pfertilizer_global_2,Potential_evapotranspiration_annual_2,secP_1_2,SMC30cm_1_2,SMN30cm_1_2,wc2.1_2.5m_elev_2,bdod_0_30cm_mean,cfvo_0_30cm_mean,clay_0_30cm_mean,ocd_0_30cm_mean,sand_0_30cm_mean,silt_0_30cm_mean,human_footprint_3,travel_time_to_cities_min,prec,srad,tavg,tmax,tmin,human_sum,human_organic,human_inorganic,human_two_component,human_phosphotransferase,human_transporters
SRR10028487,103.2666945,-1.91097225,111,1.91097225,137.783905,206.604187,45.40016429,744.149292,8137.249023,0.700737298,1.276986122,26,17750,4.22490406,50.79838943,13,1,0.211061001,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1501,16.98644829,70.62349701,16.7159996,61,111.9474538,45.64594777,434.4377441,298.6905721,299.1175944,266.5223083,13.1838398,64.0510025,222.9281019,16581.83333,26.4151384,30.28908364,22.54199139,-1.549752551,-0.158511978,-0.204975573,-0.294967455,-0.305552591,-0.585744954
SRR10028488,103.2705556,-1.78686107,111,1.78686107,147.4394226,206.7922745,48.38697561,809.0820313,8137.249023,0.700737298,1.279313087,26,17488,4.22490406,50.79838562,25,1,0.212498754,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1503,16.98644829,70.62349701,16.7159996,42,114.8908641,34.6579895,391.0290934,277.2441508,317.2112122,292.0112101,17,20.89520264,218.8617013,16566.25,26.49221722,30.41013352,22.5712738,-1.153293252,-0.130906052,-0.304889204,-0.321631499,-0.364243719,-0.031622779
SRR10028489,103.3076111,-1.8578889,111,1.8578889,137.9536082,223.8792775,46.20268122,738.5215454,8137.249023,0.700737298,1.276986122,26,17558,4.22490406,50.79838562,18,1,0.200181067,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1501,16.98644829,70.62349701,16.7159996,57,111.2767588,56.40926488,402.6515706,283.126943,323.8199463,273.3550415,14.45423222,51.53588486,219.8125381,16598,26.44684919,30.33742491,22.55465587,-1.46751811,-0.167333024,-0.25732693,-0.327427639,-0.350878041,-0.364552476
SRR10028490,103.2676667,-1.8835278,111,1.8835278,147.1522929,203.2304637,46.79285431,787.8675537,8137.249023,0.700737298,1.276986122,26,17710,4.22490406,50.79838562,15,1,0.391514927,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1499,16.98644829,70.62349701,16.7159996,61,115.097964,38.29520671,404.9040934,294.7723948,313.745697,281.3331095,14.03101063,58.18630219,221.4906254,16581.83333,26.37872346,30.23684613,22.52599478,-0.342681216,0.063425794,0.054671726,0.053923692,0.058758554,-0.57346098
SRR10028491,103.2662167,-1.90988889,111,1.90988889,137.783905,206.604187,45.40016429,744.149292,8137.249023,0.700737298,1.276986122,26,17721,4.22490406,50.79838943,12,1,0.339052469,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1503,16.98644829,70.62349701,16.7159996,61,111.9474538,45.64594777,434.4377441,298.6905721,299.1175944,266.5223083,13.1838398,64.0510025,222.9281019,16581.83333,26.4151384,30.28908364,22.54199139,-0.765709839,-0.002706043,-0.00398205,-0.042212688,-0.036365701,-0.680443357
SRR10028492,103.2769167,-1.78536113,111,1.78536113,146.489919,194.5554021,45.85098139,725.5498047,8137.249023,0.700737298,1.279313087,26,17444,4.22490406,50.79838562,25,1,0.2644023,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1504,16.98644829,70.62349701,16.7159996,42,114.0537186,37.5905927,386.6356303,269.1906179,323.5700175,289.4380391,18.1862793,20.89520264,218.8617013,16566.25,26.49221722,30.41013352,22.5712738,-0.791315073,-0.045193577,-0.250894213,-0.223938022,-0.267121521,-0.00416774
SRR10028493,103.2999722,-1.84913886,111,1.84913886,140.4049327,225.7652639,46.27840424,676.1400146,8137.249023,0.700737298,1.276986122,26,17573,4.22490406,50.79838562,13,1,0.198308945,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1498,16.98644829,70.62349701,16.7159996,57,111.1353175,53.03799057,406.1925252,285.013916,305.7587382,288.0059814,13.56337643,51.14215469,219.8125381,16598,26.44684919,30.33742491,22.55465587,-1.615996902,-0.165345799,-0.233302426,-0.321509155,-0.335904098,-0.559935423
SRR10028494,103.2942222,-1.8255278,111,1.8255278,139.3905741,212.334315,45.43320211,641.3599854,8137.249023,0.700737298,1.279313087,26,17502,4.22490406,50.79838943,21,1,0.200792357,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1500,16.98644829,70.62349701,16.7159996,65,113.9835459,65.35665639,426.834849,278.7280172,297.3652751,275.7998861,14.30860519,41.0624733,219.8125381,16572.5,26.44684919,30.33742491,22.55465587,-1.399399557,-0.182719105,-0.256915959,-0.329622013,-0.354649073,-0.275493407
SRR10028495,103.2593889,-1.92777779,111,1.92777779,122.8633397,200.8414332,46.36152522,731.6921997,8137.249023,0.700737298,1.276986122,32,17764,4.22490406,50.79838562,10,1,0.210425466,10.17800045,69.44468689,321.8891602,34.7212944,49.01543808,1.485000014,1504,16.98644829,70.62349701,16.7159996,44,113.7529577,24.2899526,409.6260071,296.5502472,315.332723,274.9872131,13.479249,72.35436249,222.9281019,16602,26.4151384,30.28908364,22.54199139,-1.530048327,-0.154075204,-0.263341235,-0.293287807,-0.234301013,-0.585043068
SRR10028496,102.5811431,-1.94329018,106,1.94329018,124.6633097,204.4255422,45.75341797,661.0209351,8137.249023,0.700737298,1.34384346,32,19360,16.89335632,48.50611877,10,1,0.200761497,8.31000042,103.9856186,206.9999847,14.29995537,54.27410507,1.213999987,1509,27.64960861,90.34279633,5.347829819,86,106.3359731,54.70671717,421.6943258,305.2956034,291.4432271,286.9837138,11,210.9796448,242.2343928,16520,26.05886761,29.81075716,22.30327304,-1.672824546,-0.206536405,-0.216057996,-0.295285794,-0.232973261,-0.721971089
