Run,geo_continent,geo,sum,sum-organic,sum-inorganic,sum-Phosphotransferase,sum-Transporters,sum-Two-component
SRR11719876,Antarctica,2,10.30036995,4.929118658,10.80093625,-1.033426732,-4.370272262,-0.025985963
SRR11719877,Antarctica,2,-3.353925131,-0.835204326,-0.392178157,0.301812659,-0.741157644,-1.687197664
SRR13254584,Antarctica,2,-16.43190513,-2.259528834,-3.097302577,-0.168641023,-7.574698549,-3.331734145
SRR13258664,Antarctica,2,-16.0147453,-2.085569288,-2.810214074,-0.338003813,-7.99743075,-2.783527379
SRR17689979,Antarctica,2,-12.00571441,-1.747116643,0.14660581,-0.987568844,-6.727598311,-2.690036421
SRR17689980,Antarctica,2,-3.928687109,-0.713811234,-0.340153435,-1.021711435,-2.96600093,1.112989925
SRR17689981,Antarctica,2,-8.806841749,0.32516592,-0.41237907,-1.195742352,-6.13078156,-1.393104687
SRR17689982,Antarctica,2,-2.118751739,0.663218317,-0.302473166,-0.73587614,-3.099805929,1.35618518
SRR17689983,Antarctica,2,-11.90405746,-0.695043107,0.162574866,-0.799951178,-8.53133892,-2.040299125
SRR17689984,Antarctica,2,-9.673320685,-0.528404817,-0.021546484,-1.019006454,-5.505970676,-2.598392254
SRR17689985,Antarctica,2,1.817444303,4.707852212,-0.934529633,-1.195742352,2.447224795,-3.207360719
SRR17689986,Antarctica,2,-4.608063698,1.642551471,-0.002960615,-1.066233458,-2.555853411,-2.625567685
SRR17689987,Antarctica,2,0.015721049,3.241748686,-1.557165373,-1.195742352,2.248152513,-2.721272425
SRR17689988,Antarctica,2,2.593086983,2.292177046,-1.586155264,-1.195742352,6.747365079,-3.664557526
SRR17689989,Antarctica,2,-5.207763111,0.738732425,1.279299563,-1.195742352,-2.583095569,-3.446957178
SRR17689990,Antarctica,2,-0.631627833,-0.793582475,-1.812437673,-1.132230444,5.807669456,-2.701046697
SRR17689991,Antarctica,2,-8.652294844,-1.177173745,-1.514077797,-0.797894837,-3.54451239,-1.618636074
SRR17689992,Antarctica,2,-5.011411977,-0.305280199,-1.888971233,-1.195742352,1.801239237,-3.42265743
SRR17689993,Antarctica,2,0.928464369,4.726836503,-1.208798312,-0.639259951,-6.250349107,4.300035236
SRR17689994,Antarctica,2,4.940247221,4.405931386,2.662767525,-1.111459121,1.919543584,-2.936536153
SRR17689995,Antarctica,2,28.37696091,0.914960974,7.276013784,0.493632149,8.957368006,10.734986
SRR17689996,Antarctica,2,-1.763096843,1.540916938,-1.87094615,-1.161346734,2.365218739,-2.636939637
SRR17689997,Antarctica,2,4.650956315,-1.625932006,0.880028537,-1.195742352,7.950841628,-1.358239491
SRR17689998,Antarctica,2,8.089246894,2.134152507,1.437545069,-0.367255596,-1.891645998,6.776450913
SRR17689999,Antarctica,2,13.59621881,-0.689930618,2.149179856,-0.833479119,-1.661641374,14.63209006
SRR17690000,Antarctica,2,-0.421426484,-0.886330931,-1.054816388,-1.142879747,5.089590076,-2.426989495
SRR17690001,Antarctica,2,-9.949337342,-0.897066684,-1.583774652,-1.127594956,-4.58668051,-1.754220541
SRR17690002,Antarctica,2,-5.432040562,1.143719798,0.717671952,-1.029016295,-5.630929355,-0.633486662
SRR17690003,Antarctica,2,-8.734446888,-1.192595557,-0.296620036,-0.986744794,-4.488008458,-1.770478043
SRR17690004,Antarctica,2,-5.48046273,-1.606831519,-0.216321419,-0.305271868,-1.997465906,-1.354572018
SRR24605825,Antarctica,2,9.874914295,3.296581678,1.739112509,0.934368414,2.074446921,1.830404772
