sort_id,GDP_per_capita_PPP2005,anthropogenic_biome_2,population_density_2,Human_influence_index_2,development_threat_index_2,human_modification_terrestrial_2,pfertilizer_global_2,human_footprint_3,rev_travel_time_to_cities_min,sum,sum_organic,sum_inorganic,sum_phosphotransferase,sum_transporters,sum_two_component,human_sum,human_organic,human_inorganic,human_two_component,human_phosphotransferase,human_transporters,travel_time_to_cities_min
SRR10159349,8820.905273,21,1292.712524,38,2,0.581914008,8.706000328,22.33833313,-0.704882801,-2.09392529,-0.895982671,-1.151304932,1.194901315,-0.452717291,-0.788821711,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793,0.704882801
SRR10159350,8820.905273,21,1292.712524,38,2,0.581914008,8.706000328,22.33833313,-0.704882801,1.118563533,-1.356187908,-1.639614521,2.349454525,0.882996184,0.881915253,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793,0.704882801
SRR10159351,8820.905273,21,1292.712524,38,2,0.581914008,8.706000328,22.33833313,-0.704882801,4.469875708,-1.919641317,-1.105505514,3.183574662,4.498522934,-0.187075057,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793,0.704882801
SRR10159352,8820.905273,21,1292.712524,38,2,0.581914008,8.706000328,22.33833313,-0.704882801,0.105385274,-0.939767655,-1.489654362,2.864097107,0.270488317,-0.599778134,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793,0.704882801
SRR10159353,8820.905273,21,1292.712524,38,2,0.581914008,8.706000328,22.33833313,-0.704882801,-4.366757601,-1.74679767,-1.156125813,1.477646621,-2.5175168,-0.423963939,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793,0.704882801
SRR10159354,8820.905273,21,1292.712524,38,2,0.581914008,8.706000328,22.33833313,-0.704882801,-6.950173673,-1.957046224,-1.714896528,1.065781395,-2.721189089,-1.622823226,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793,0.704882801
SRR10159355,8820.905273,21,1292.712524,38,2,0.581914008,8.706000328,22.33833313,-0.704882801,-5.807667674,-2.02606049,-1.503868261,1.521727812,-2.235089324,-1.564377411,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793,0.704882801
SRR10159356,8820.905273,21,1292.712524,38,2,0.581914008,8.706000328,22.33833313,-0.704882801,-0.334290393,-1.579192118,1.82446458,-0.139138748,-0.560117742,0.119693635,0.964596014,-0.032174972,-0.012432437,0.192137731,0.354899899,0.462165793,0.704882801
SRR10260005,11608.87012,12,908.793396,26,1,0.797474682,6.998000145,25.25865364,0,-9.786241877,-1.949880701,-2.83735503,3.440391282,-5.989861088,-2.44953634,2.034222128,0.447178711,0.365746753,0.646017232,0.670916634,-0.095637202,0
SRR10260006,11608.87012,11,552.9187622,26,2,0.772367775,23.90699959,17.81038094,-9.364340782,-1.200842749,0.696776756,-0.759677585,1.110518197,-3.220116455,0.971656338,0.421673908,-0.627098059,0.039974548,0.219739464,0.909140957,-0.120083002,9.364340782
